排名	企业名称	Company Name	估值（亿人民币）	国家	城市	行业	掌门人/创始人	成立年份	部分投资机构	region
1	蚂蚁金服	Ant Financial	10000	中国	杭州	金融科技	井贤栋	2014	春华资本、中投海外、红杉资本	环杭州湾大湾区
2	字节跳动	Bytedance	5000	中国	北京	媒体和娱乐	张一鸣	2012	红杉资本、海纳亚洲、纪源资本、启明创投	渤海大湾区
3	滴滴出行	Didi Chuxing	3600	中国	北京	共享经济	程维	2012	腾讯、阿里巴巴、红杉资本、经纬中国、纪源资本	渤海大湾区
6	陆金所	Lufax	2700	中国	上海	金融科技	计葵生	2011	摩根士丹利、中银集团、国泰君安（香港）	环杭州湾大湾区
11	微众银行	WeBank	1500	中国	深圳	金融科技	顾敏	2014	腾讯、华平投资、淡马锡	粤港澳大湾区
12	菜鸟网络	Cainiao	1300	中国	杭州	物流	童文红	2013	GIC、淡马锡、春华资本	环杭州湾大湾区
12	京东数科	JD Digits	1300	中国	北京	金融科技	陈生强	2013	红杉资本、嘉实投资、中国太平	渤海大湾区
14	快手	Kuaishou	1200	中国	北京	媒体和娱乐	宿华	2011	红杉资本、晨兴资本、百度、腾讯	渤海大湾区
15	大疆	DJI	1000	中国	深圳	机器人	汪滔	2006	Accel、红杉资本、麦星投资	粤港澳大湾区
20	比特大陆	Bitmain	800	中国	北京	区块链	詹克团，吴忌寒	2013	红杉资本、IDG、Crimson Ventures, 创新工场	渤海大湾区
20	京东物流	JD Logistics	800	中国	北京	物流	王振辉	2007	高瓴资本、红杉资本、腾讯	渤海大湾区
25	贝壳找房	Beike	600	中国	天津	房地产科技	左晖	2018	腾讯	渤海大湾区
25	车好多	CARS	600	中国	北京	电子商务	杨浩涌	2011	红杉资本、今日资本、IDG、经纬中国	渤海大湾区
25	平安医保科技	Ping An Healthcare Technology	600	中国	上海	健康科技	高菁	2016	IDG、思佰益、软银海外	环杭州湾大湾区
34	美菜网	Meicai	500	中国	北京	电子商务	刘传军	2014	顺为资本、纪源资本、真格基金	渤海大湾区
34	金融壹账通	OneConnect	500	中国	上海	金融科技	叶望春	2015	IDG、思佰益	环杭州湾大湾区
34	苏宁金服	Suning Finance	500	中国	南京	金融科技	张近东	2006	光大控股、深创投	NA
43	满帮	Full Truck Alliance	400	中国	贵阳	物流	王刚	2014	腾讯、红杉资本、光速中国、高瓴资本、云峰基金、纪源资本	NA
43	商汤科技	SenseTime	400	中国	北京	人工智能	徐立	2014	鼎晖投资、IDG、中金公司	渤海大湾区
43	神州优车	UCAR	400	中国	天津	共享经济	陆正耀	2015	云锋基金、云岭投资、中金公司	渤海大湾区
43	微医	WeDoctor	400	中国	杭州	健康科技	廖杰远	2010	红杉资本、高盛、腾讯、启明创投、高瓴资本	环杭州湾大湾区
57	旷视科技	Megvii	300	中国	北京	人工智能	印奇	2011	创新工场、启明创投、联想之星、建银国际、蚂蚁金服 、纪源资本	渤海大湾区
57	达达-京东到家	New Dada	300	中国	上海	物流	蒯佳祺	2014	红杉资本、DST、京东	环杭州湾大湾区
57	柔宇科技	Royole	300	中国	深圳	消费品	刘自鸿	2012	中信产业基金、基石资本、IDG	粤港澳大湾区
57	优必选	Ubtech	300	中国	深圳	机器人	周剑	2012	启明创投、科大讯飞、鼎晖投资、腾讯	粤港澳大湾区
57	联影医疗	United Imaging	300	中国	上海	健康科技	薛敏	2010	中国人寿、国投创新	环杭州湾大湾区
57	威马汽车	WM Motor	300	中国	上海	新能源汽车	沈晖	2015	远景能源、红杉资本、海纳亚洲	环杭州湾大湾区
57	小鹏汽车	Xpeng Motors	300	中国	广州	新能源汽车	何小鹏	2014	晨兴资本、IDG、经纬中国、顺为资本、阿里巴巴、纪源资本	粤港澳大湾区
57	自如	Ziroom	300	中国	北京	房地产科技	左晖	2011	华平投资、红杉资本、腾讯	渤海大湾区
84	博纳影业	Bona film	200	中国	北京	媒体和娱乐	于冬	2003	红杉资本、海纳亚洲、经纬中国、阿里巴巴、万达院线、腾讯	渤海大湾区
84	嘉楠耘智	Canaan	200	中国	杭州	区块链	张楠赓	2013	锦江集团、暾澜资本	环杭州湾大湾区
84	银联商务	China UMS	200	中国	上海	金融科技	田林	2002	光际资本、IDG	环杭州湾大湾区
84	云从科技	Cloudwalk	200	中国	广州	人工智能	周曦	2015	顺为资本、元禾原点、前海兴旺	粤港澳大湾区
84	大地影院	Dadi Digital Cinema	200	中国	深圳	媒体和娱乐	刘荣	2006	阿里影业	粤港澳大湾区
84	斗鱼	Douyu	200	中国	武汉	媒体和娱乐	陈少杰	2014	红杉资本、腾讯、南山资本	NA
84	度小满金融	Du Xiaoman Financial	200	中国	北京	金融科技	朱光	2018	TPG、凯雷投资，泰康集团、农银国际	渤海大湾区
84	哈啰出行	Hellobike	200	中国	上海	共享经济	杨磊	2016	纪源资本、磐谷创投、愉悦资本、蚂蚁金服	环杭州湾大湾区
84	复宏汉霖	Henlius	200	中国	上海	生命科学	刘世高	2009	华盖资本	环杭州湾大湾区
84	喜马拉雅	Himalaya	200	中国	上海	媒体和娱乐	余建军	2012	海纳亚洲、Sierra Ventures、前海兴旺	环杭州湾大湾区
84	地平线机器人	Horizon Robotics	200	中国	北京	人工智能	余凯	2015	真格基金、红杉资本、高瓴资本、创新工场、晨兴资本	渤海大湾区
84	汇通达	Huitongda	200	中国	南京	电子商务	徐秀贤	2008	毅达资本、紫金资本、顺为资本	NA
84	跨越速运	Kuayue Express	200	中国	深圳	物流	胡永	2007	红杉资本	粤港澳大湾区
84	每日优鲜	Missfresh	200	中国	北京	电子商务	徐正	2014	光信资本、腾讯、浙商创投、启明创投	渤海大湾区
84	奇安信	Qi An Xin	200	中国	北京	网络安全	齐向东	2015	IDG资本、中信建投资本、华兴创投	渤海大湾区
84	奇点汽车	Singulato	200	中国	北京	新能源汽车	沈海寅	2014	光信资本、奇虎360	渤海大湾区
84	大搜车	Souche	200	中国	北京	电子商务	姚军红	2012	晨兴资本、红杉资本、阿里巴巴、华平投资	渤海大湾区
84	优客工场	UrWork	200	中国	北京	共享经济	毛大庆	2015	真格基金、红杉资本、创新工场	渤海大湾区
84	VIPKID	VIPKID	200	中国	北京	教育科技	米雯娟	2013	创新工场、云锋基金、红杉资本、真格基金、腾讯、经纬中国	渤海大湾区
84	小红书	Xiaohongshu	200	中国	上海	软件与服务	毛文超	2013	红杉资本、腾讯、真格基金、纪源资本、阿里巴巴	环杭州湾大湾区
84	易果生鲜	Yiguo	200	中国	上海	电子商务	金光磊	2005	阿里巴巴、高盛	环杭州湾大湾区
84	一下科技	Yixia	200	中国	北京	媒体和娱乐	韩坤	2013	新浪、红点创投、红杉资本、晨兴资本	渤海大湾区
84	游侠汽车	Youxia	200	中国	上海	新能源汽车	卫俊	2014	前海梧桐、中创海洋	环杭州湾大湾区
84	猿辅导	Yuanfudao	200	中国	北京	教育科技	李勇	2012	IDG、经纬中国、腾讯、华平投资	渤海大湾区
84	作业帮	Zuoyebang	200	中国	北京	教育科技	侯建彬	2014	纪源资本、H Capital、红杉资本	渤海大湾区
138	爱回收	Aihuishou	150	中国	上海	软件与服务	陈雪峰	2010	京东、凯辉基金、达晨创投、天图资本、晨兴资本	环杭州湾大湾区
138	APUS	APUS	150	中国	北京	软件与服务	李涛	2014	海纳亚洲、启明创投	渤海大湾区
138	Block.One	Block.One	150	中国	香港	区块链	Brendan Blumer	2017	Peter Thiel	粤港澳大湾区
138	拜腾汽车	Byton	150	中国	南京	新能源汽车	毕福康	2017	一汽集团、启迪控股、宁德时代	NA
138	寒武纪科技	Cambricon	150	中国	北京	人工智能	陈天石	2016	国投创业、阿里巴巴、联想创投	渤海大湾区
138	灿星	Canxing	150	中国	上海	媒体和娱乐	田明	2006	阿里巴巴、腾讯、华人文化	环杭州湾大湾区
138	车和家	Chehejia	150	中国	北京	新能源汽车	李想	2015	利欧股份、源码资本、明势资本	渤海大湾区
138	准时达	Jusda	150	中国	成都	物流	杨秋瑾	2010	中国人寿、IDG、中金资本	NA
138	金山云	Kingsoft Cloud	150	中国	北京	云计算	王育林	2011	IDG、金山软件、小米	渤海大湾区
138	马蜂窝	Mafengwo	150	中国	北京	电子商务	陈罡	2006	今日资本、启明创投、高瓴资本	渤海大湾区
138	名创优品	Miniso	150	中国	广州	新零售	叶国富	2013	腾讯、高瓴资本	粤港澳大湾区
138	PingPong	PingPong	150	中国	杭州	金融科技	陈宇	2015	广发信德、清华控股、Fidelity	环杭州湾大湾区
138	雾芯科技	RELX	150	中国	深圳	消费品	汪莹	2018	IDG、源码资本、红杉资本	粤港澳大湾区
138	苏宁体育	Suning Sports	150	中国	南京	媒体和娱乐	张近东	2015	高盛	NA
138	淘票票	Taobao Dianying	150	中国	杭州	电子商务	俞永福	2014	蚂蚁金服、鼎晖投资、新浪	环杭州湾大湾区
138	依图科技	YITU	150	中国	上海	人工智能	朱珑	2012	云锋基金、红杉资本、真格基金、高瓴资本	环杭州湾大湾区
138	知乎	Zhihu	150	中国	北京	媒体和娱乐	周源	2011	创新工场、今日资本、启明创投、腾讯	渤海大湾区
224	爱驰汽车	Aiways	100	中国	上海	新能源汽车	谷峰	2017	腾讯、沙钢集团、明驰基金	环杭州湾大湾区
224	曹操专车	Caocao	100	中国	杭州	共享经济	刘金良	2015	未透露	环杭州湾大湾区
224	蛋壳公寓	Danke	100	中国	北京	房地产科技	沈博阳	2015	老虎基金、蚂蚁金服、优客工场	渤海大湾区
224	亿邦国际	Ebang	100	中国	杭州	区块链	胡东	2013	未透露	环杭州湾大湾区
224	天际汽车	Enovate	100	中国	绍兴	新能源汽车	张海亮	2017	未透露	环杭州湾大湾区
224	悦畅科技	ETCP	100	中国	北京	软件与服务	谭龙	2012	万达、经纬中国、海纳亚洲	渤海大湾区
224	高顿	Gaodun	100	中国	上海	教育科技	李锋	2006	前程无忧	环杭州湾大湾区
224	英雄互娱	Hero Entertainment	100	中国	北京	游戏	应书岭	2015	华谊兄弟、红杉资本、真格基金	渤海大湾区
224	惠民网	Huimin	100	中国	北京	电子商务	张一春	2013	西部优势资本、中合担保	渤海大湾区
224	天下秀	IMS	100	中国	北京	大数据	李檬	2009	新浪、软银赛富、摩根士丹利	渤海大湾区
224	软通动力	iSoftstone	100	中国	北京	软件与服务	刘天文	2001	红杉资本、达晨创投 、华兴新经济基金、易方达基金	渤海大湾区
224	京东健康	JD Health	100	中国	北京	健康科技	辛利军	2019	CPEChina Fund、中金资本、霸菱亚洲	渤海大湾区
224	界面	Jiemian	100	中国	上海	媒体和娱乐	何力	2014	昆仑信托	环杭州湾大湾区
224	孩子王	Kidswant	100	中国	南京	电子商务	汪建国	2009	华平投资、景林投资、高瓴资本	NA
224	客路旅行	KLOOK	100	中国	香港	电子商务	王志豪	2014	红杉资本、经纬中国、高盛	粤港澳大湾区
224	驴妈妈	lvmama	100	中国	上海	电子商务	洪清华	2008	红杉资本、鼎晖投资	环杭州湾大湾区
224	蜜芽	Mia	100	中国	北京	电子商务	刘楠	2011	百度、红杉资本、真格基金	渤海大湾区
224	魔方公寓	Mofang	100	中国	上海	房地产科技	葛岚	2010	中航信托、华平投资、德同资本	环杭州湾大湾区
224	影谱科技	Moviebook	100	中国	北京	人工智能	姬晓晨	2009	商汤科技、软银中国、曜为资本	渤海大湾区
224	网易云音乐	NetEase Music	100	中国	杭州	媒体和娱乐	朱一闻	2013	SMG	环杭州湾大湾区
224	纳恩博	Ninebot	100	中国	天津	机器人	高禄峰	2013	红杉资本、小米、顺为资本	渤海大湾区
224	盘石股份	Panshi	100	中国	杭州	大数据	田宁	2004	赛伯乐、韩亚金融集团、建信信托	环杭州湾大湾区
224	全棉时代	PurCotton	100	中国	深圳	健康科技	李建全	2009	红杉资本	粤港澳大湾区
224	日日顺	RRS	100	中国	青岛	物流	解居志	2000	阿里巴巴、高盛、中投	渤海大湾区
224	SheIn	SheIn	100	中国	深圳	电子商务	许仰天	2008	JAFC、IDG、景林资本、红杉资本	粤港澳大湾区
224	蜀海	Shuhai	100	中国	北京	物流	张勇	2011	红杉资本、君联资本、高瓴资本	渤海大湾区
224	开沃汽车	Skywell	100	中国	南京	新能源汽车	黄宏生	2017	恒泰华盛、百石基金	NA
224	秦淮数据	Stack data	100	中国	北京	大数据	居静	2015	贝恩资本	渤海大湾区
224	同盾科技	Tongdun	100	中国	杭州	云计算	蒋韬	2012	IDG、华创资本、启明创投、纪源资本	环杭州湾大湾区
224	土巴兔	Tubatu	100	中国	深圳	软件与服务	王国彬	2008	红杉资本、经纬中国、58同城	粤港澳大湾区
224	途虎养车	Tuhu	100	中国	上海	电子商务	陈敏	2014	高瓴资本、启明创投、君联资本、红杉资本	环杭州湾大湾区
224	途家网	Tujia	100	中国	北京	共享经济	罗军	2011	携程、纪源资本、启明创投、鼎晖投资	渤海大湾区
224	涂鸦智能	TuyaSmart	100	中国	杭州	人工智能	王学集	2014	宽带资本、中金公司	环杭州湾大湾区
224	微店	Weidian	100	中国	北京	电子商务	王珂	2011	腾讯、华平投资、经纬中国	渤海大湾区
224	微鲸	Whaley	100	中国	上海	消费品	黎瑞刚	2015	腾讯、华人文化产业基金	环杭州湾大湾区
224	药明明码	WuXi NextCODE	100	中国	上海	生命科学	李革	2015	淡马锡、红杉资本、云锋基金、	环杭州湾大湾区
224	小猪短租	xiaozhu	100	中国	北京	房地产科技	陈驰	2012	愉悦资本、贝塔斯曼、君联资本、晨兴资本	渤海大湾区
224	新潮传媒	Xinchao	100	中国	成都	媒体和娱乐	张继学	2013	百度、闻名投资	NA
224	猪八戒网	Zbj	100	中国	重庆	软件与服务	朱明跃	2005	赛伯乐、IDG	NA
224	找钢网	Zhaogang	100	中国	上海	电子商务	王东	2012	IDG、经纬中国、红杉资本、真格基金	环杭州湾大湾区
264	百融金服	100credit	70	中国	北京	金融科技	张韶峰	2014	中国国新、中金前海、红杉资本、IDG、高瓴资本	渤海大湾区
264	一起作业	17zuoye	70	中国	上海	教育科技	刘畅	2007	真格基金、顺为资本、老虎基金	环杭州湾大湾区
264	1919酒类直供	1919 Wines & Spirits	70	中国	成都	新零售	杨陵江	2006	阿里巴巴、天弘基金、中信证券	NA
264	第四范式	4paradigm	70	中国	北京	人工智能	戴文渊	2015	红杉资本、国新、启迪、创新工场	渤海大湾区
264	玖富	9fgroup	70	中国	北京	金融科技	孙雷	2006	晨兴资本、DCM、SIG	渤海大湾区
264	空中云汇	Airwallex	70	中国	香港	金融科技	Jack Zhang	2016	腾讯、红杉资本、DST、高瓴资本	粤港澳大湾区
264	岩心科技	Akulaku	70	中国	深圳	金融科技	李文博	2015	启明创投、蚂蚁金服	粤港澳大湾区
264	阿里体育	Alisports	70	中国	上海	媒体和娱乐	张勇	2015	云峰基金、太平资产	环杭州湾大湾区
264	安能物流	Ane	70	中国	上海	物流	王拥军	2010	红杉资本、凯雷投资、高盛、华平投资	环杭州湾大湾区
264	安翰医疗	Ankon	70	中国	上海	健康科技	吉朋松	2008	软银中国、大中投资	环杭州湾大湾区
264	斑马网络	Banma	70	中国	上海	人工智能	郝飞	2015	国投创新、云锋基金、尚颀资本	环杭州湾大湾区
264	贝贝网	Beibei	70	中国	杭州	电子商务	张良伦	2014	IDG、北极光创投、今日资本	环杭州湾大湾区
264	波奇网	Boqii	70	中国	上海	电子商务	唐颖之	2012	高盛、集富亚洲、点亮资本	环杭州湾大湾区
264	博郡汽车	Bordrin	70	中国	南京	新能源汽车	黄希鸣	2017	盛世投资、中科产业基金	NA
264	康众汽配	Carzone	70	中国	南京	新零售	商宝国	2018	基石资本、华平投资、阿里巴巴	NA
264	车猫二手车	Chemao	70	中国	杭州	电子商务	黄巍	2012	浙富控股、元璟资本	环杭州湾大湾区
264	车置宝	Chezhibao	70	中国	南京	电子商务	黄乐	2010	九鼎资本、毅达资本	NA
264	春雨医生	Chunyuyisheng	70	中国	北京	健康科技	李光辉	2011	蓝驰创投、贝塔斯曼、中金公司	渤海大湾区
264	哒哒英语	DaDa	70	中国	上海	教育科技	郅慧	2013	老虎基金、华平资本、好未来	环杭州湾大湾区
264	58到家	Daojia	70	中国	北京	软件与服务	姚劲波	2014	阿里巴巴、KKR、平安创投	渤海大湾区
264	点融网	Dianrong	70	中国	上海	金融科技	苏海德	2012	老虎环球基金、北极光创投、GIC	环杭州湾大湾区
264	DotC United	DotC United	70	中国	上海	大数据	石一	2015	高榕资本、光速中国、晨兴资本	环杭州湾大湾区
264	数梦工场	Dtdream	70	中国	杭州	云计算	吴敬传	2015	阿里巴巴、银杏谷资本	环杭州湾大湾区
264	丁香园	Dxy	70	中国	杭州	健康科技	李天天	2000	顺为资本、DCM、腾讯	环杭州湾大湾区
264	易生金服	Easy Life	70	中国	北京	金融科技	刘江涛	2011	海航旅游、H-capital	渤海大湾区
264	远景能源	Envision	70	中国	上海	新能源	张雷	2008	红杉资本	环杭州湾大湾区
264	房多多	FangDD	70	中国	深圳	房地产科技	段毅	2011	嘉御基金、光速中国、鼎晖投资	粤港澳大湾区
264	返利网	Fanli	70	中国	上海	电子商务	葛永昌	2007	海纳亚洲、启明创投、乐天	环杭州湾大湾区
264	丰巢科技	Fcbox	70	中国	深圳	物流	徐育斌	2015	顺丰速运、鼎晖投资、国开金融	粤港澳大湾区
264	纷享销客	Fxiaoke	70	中国	北京	软件与服务	罗旭	2011	DCM、北极光创投、IDG、高瓴资本	渤海大湾区
264	G7	G7	70	中国	北京	人工智能	翟学魂	2011	厚朴投资、经纬中国、腾讯	渤海大湾区
264	集奥聚合	Geo	70	中国	北京	大数据	崔晶晶	2012	金沙江创投、新浪、亚信联创	渤海大湾区
264	好大夫在线	Haodf	70	中国	北京	健康科技	王航	2006	挚信资本、崇德投资、DCM中国	渤海大湾区
264	好享家	Hosjoy	70	中国	南京	软件与服务	汪建国	2009	德同资本、方正和生、富坤投资	NA
264	合众汽车	Hozon	70	中国	桐乡	新能源汽车	张勇	2014	知合出行、鸿利智汇	环杭州湾大湾区
264	华云数据	Huayun	70	中国	无锡	大数据	许广彬	2010	海纳亚洲、Intel Capital、海通开元	NA
264	慧科教育	Huikedu Group	70	中国	北京	教育科技	方业昌	2010	泛海控股、复星锐正资本	渤海大湾区
264	沪江	Hujiang	70	中国	上海	教育科技	伏彩瑞	2001	汉能投资、软银、顺为资本、海纳亚洲	环杭州湾大湾区
264	碳云智能	Icarbonx	70	中国	广州	健康科技	王俊	2015	天府集团、鑫根资本	粤港澳大湾区
264	艾佳生活	Ihomefnt	70	中国	南京	软件与服务	潘定国	2014	天图资本、达晨创投、正和岛基金	NA
264	谊品生鲜	Ipien	70	中国	重庆	电子商务	江建飞	2013	腾讯领投，今日资本	NA
264	麦奇教育科技	iTutorGroup	70	中国	上海	教育科技	杨正大	2008	启明创投、GIC、高盛	环杭州湾大湾区
264	酒仙网	JiuXian	70	中国	北京	电子商务	郝鸿峰	2010	红杉资本、东方富海	渤海大湾区
264	执御信息	Jollycorp	70	中国	杭州	电子商务	李海燕	2012	红杉资本、君联资本、鼎晖投资	环杭州湾大湾区
264	卷皮	Juanpi	70	中国	广州	电子商务	黄承松	2012	天图资本、招银国际、浙江金控	粤港澳大湾区
264	驹马物流	Juma	70	中国	成都	物流	白如冰	2011	普洛斯、新希望、远洋资本	NA
264	九次方大数据	Jusfoun	70	中国	北京	大数据	王叁寿	2010	IDG资本、信中利资本、键桥通讯	渤海大湾区
264	作业盒子	Knowbox	70	中国	北京	教育科技	刘夜	2014	阿里巴巴、联想之星、好未来教育集团	渤海大湾区
264	氪空间	Kr Space	70	中国	北京	共享经济	刘成城	2016	IDG、歌斐资产	渤海大湾区
264	货拉拉	Lalamove	70	中国	香港	物流	周胜馥	2013	清流资本、襄禾资本、顺为资本	粤港澳大湾区
264	辣妈帮	Lamabang	70	中国	深圳	健康科技	金赞	2011	经纬中国、晨兴资本	粤港澳大湾区
264	零跑汽车	Leapmotor	70	中国	金华	新能源汽车	朱江明	2017	红杉资本、上海电气、兴业证券	NA
264	连连数字	Lianlian	70	中国	杭州	金融科技	章征宇	2009	红杉资本、光大实业、赛伯乐	环杭州湾大湾区
264	零氪科技	Linkdoc	70	中国	北京	大数据	张天泽	2014	中投公司	渤海大湾区
264	联易融	Linklogis	70	中国	深圳	金融科技	宋群	2016	腾讯、泛海投资、中信资本	粤港澳大湾区
264	柠萌影业	Linmon	70	中国	上海	媒体和娱乐	苏晓	2014	腾讯、弘毅投资	环杭州湾大湾区
264	罗计物流	Loji	70	中国	北京	物流	宋睿	2014	IDG、真格基金	渤海大湾区
264	罗辑思维	Luojilab	70	中国	北京	媒体和娱乐	罗振宇	2012	顺为资本、启明创投、真格基金、红杉资本、腾讯	渤海大湾区
264	脉脉	Maimai	70	中国	北京	软件与服务	林凡	2012	DST、IDG、晨兴资本、DCM	渤海大湾区
264	妙手医生	Miaoshou	70	中国	北京	健康科技	何涛	2015	红杉资本、启明创投	渤海大湾区
264	明略科技	Mininglamp	70	中国	北京	人工智能	吴明辉	2014	红杉资本、分享投资	渤海大湾区
264	出门问问	Mobvoi	70	中国	上海	人工智能	李志飞	2012	真格基金、红杉资本、海纳亚洲	环杭州湾大湾区
264	Momenta	Momenta	70	中国	北京	人工智能	曹旭东	2016	创新工场、腾讯、真格基金、顺为资本、纪源资本	渤海大湾区
264	诺米	Nome	70	中国	广州	新零售	陈浩	2017	红杉资本、华兴资本、天图资本、今日资本	粤港澳大湾区
264	诺禾致源	Novogene	70	中国	北京	生命科学	李瑞强	2011	招银国际、国投创新	渤海大湾区
264	奥比中光	Orbbec	70	中国	深圳	人工智能	黄源浩	2013	蚂蚁金服、赛富投资、松禾资本	粤港澳大湾区
264	毒	Poizon	70	中国	上海	电子商务	杨冰	2015	DST、虎扑体育、普思资本	环杭州湾大湾区
264	辉能科技	Prologium	70	中国	台北	新能源	楊思枏	2006	丹丰资本、软银中国资本	NA
264	人人车	Renrenche	70	中国	北京	电子商务	李健	2014	高盛、腾讯、滴滴、顺为资本	渤海大湾区
264	人人贷	Renrendai	70	中国	北京	金融科技	杨一夫	2010	挚信资本	渤海大湾区
264	首汽约车	Shouqi	70	中国	北京	共享经济	魏东	2015	百度、蔚来资本	渤海大湾区
264	水滴	Shuidi	70	中国	北京	金融科技	沈鹏	2016	腾讯、创新工场、IDG、美团点评	渤海大湾区
264	神州细胞工程	Sinocelltech	70	中国	北京	生命科学	谢良志	2007	启明创投	渤海大湾区
264	智米科技	Smartmi	70	中国	北京	消费品	苏峻	2014	顺为资本、GIC、纪源资本	渤海大湾区
264	腾云天下	TalkingData	70	中国	北京	大数据	崔晓波	2011	软银中国、麦顿投资、北极光创投	渤海大湾区
264	企鹅杏仁	Tencent Trusted Doctors	70	中国	北京	健康科技	王仕锐	2018	腾讯、碧桂园创投、红杉资本	渤海大湾区
264	优刻得	UCloud	70	中国	上海	云计算	季昕华	2012	DCM、贝塔斯曼、君联资本	环杭州湾大湾区
264	云知声	Unisound	70	中国	北京	云计算	梁家恩	2012	启明创投、高通	渤海大湾区
264	V领地	V Linker	70	中国	上海	房地产科技	周君强	2011	华平投资	环杭州湾大湾区
264	挖财	Wacai	70	中国	杭州	金融科技	李治国	2009	新天域资本、光信资本、IDG、启明创投	环杭州湾大湾区
264	我来贷	WeLab	70	中国	深圳	金融科技	谢飞	2014	阿里巴巴、淡马锡、红杉资本	粤港澳大湾区
264	万能钥匙	WiFi Master key	70	中国	上海	软件与服务	陈大年	2013	海通开元、北极光创投	环杭州湾大湾区
264	我买网	Womai	70	中国	北京	电子商务	张东风	2009	IDG、赛富基金、百度	渤海大湾区
264	汇桔网	WTOIP	70	中国	广州	软件与服务	谢旭辉	2013	粤民投、厚朴投资、胡润百富	粤港澳大湾区
264	要出发	Yaochufa	70	中国	广州	电子商务	丁根芳	2011	众信旅游、红杉资本、创新工场	粤港澳大湾区
264	越海全球	YH Global	70	中国	深圳	物流	张泉	2012	涌铧投资、汇能金融、磐石资本	粤港澳大湾区
264	一点资讯	Yidianzixun	70	中国	北京	媒体和娱乐	李亚	2012	凤凰、小米、IDG	渤海大湾区
264	易久批	Yijiupi	70	中国	北京	电子商务	王朝成	2014	美团点评、腾讯、贝塔斯曼	渤海大湾区
264	壹米滴答	Yimidida	70	中国	上海	物流	杨兴运	2015	博裕资本、厚朴投资、普洛斯、源码资本、鼎晖投资	环杭州湾大湾区
264	洋码头	yMatou	70	中国	上海	电子商务	曾碧波	2009	远镜创投、赛富基金	环杭州湾大湾区
264	有利网	Yooli	70	中国	北京	金融科技	吴逸然	2012	高瓴资本、晨兴资本、软银中国	渤海大湾区
264	网易有道	Youdao	70	中国	北京	软件与服务	周枫	2007	君联资本、慕华投资	渤海大湾区
264	云鸟科技	Yunniao	70	中国	北京	物流	韩毅	2014	华平投资、红杉资本、经纬中国	渤海大湾区
264	掌门1对1	Zhangmen	70	中国	上海	教育科技	张翼	2014	顺为资本、达晨创投、华平投资	环杭州湾大湾区
264	转转	Zhuanzhuan	70	中国	北京	电子商务	姚劲波	2015	腾讯	渤海大湾区
